TimePeriod,GeoType,GeoID,GeoRank,Geography,"Estimated annual rate per 10,000",Number
2020,UHF42,401,4,Long Island City - Astoria,42.5,45
2020,UHF42,402,4,West Queens,47.4,144
2020,UHF42,403,4,Flushing - Clearview,28.7,39
2020,UHF42,404,4,Bayside - Little Neck,6.5,3
2020,UHF42,405,4,Ridgewood - Forest Hills,24.3,40
2020,UHF42,406,4,Fresh Meadows,39,27
2020,UHF42,407,4,Southwest Queens,43.9,78
2020,UHF42,408,4,Jamaica,71.1,140
2020,UHF42,409,4,Southeast Queens,38.6,44
2020,UHF42,410,4,Rockaways,48.1,50
2020,UHF42,501,4,Port Richmond,47.1,23
2020,UHF42,502,4,Stapleton - St. George,55.9,40
2020,UHF42,503,4,Willowbrook,21.5,11
2020,UHF42,504,4,South Beach - Tottenville,18,19
2020,Borough,1,1,Bronx,128.3,1300
2020,Borough,2,1,Brooklyn,46.8,889
2020,Borough,3,1,Manhattan,58.6,454
2020,Borough,4,1,Queens,43.8,620
2020,Borough,5,1,Staten Island,33.9,94
2020,Citywide,1,0,New York City,62.4,3357
2019,CD,101,6,Financial District (CD1),61.3,27
2019,CD,102,6,Greenwich Village and Soho (CD2),34,11
2019,CD,103,6,Lower East Side and Chinatown (CD3),241.9,161
2019,CD,104,6,Clinton and Chelsea (CD4),60.3,29
2019,CD,105,6,Midtown (CD5),134.8,30
2019,CD,106,6,Stuyvesant Town and Turtle Bay (CD6),72.9,36
2019,CD,107,6,Upper West Side (CD7),92.9,110
2019,CD,108,6,Upper East Side (CD8),54.3,64
2019,CD,109,6,Morningside Heights and Hamilton Heights (CD9),277.2,146
2019,CD,110,6,Central Harlem (CD10),465.5,327
2019,CD,111,6,East Harlem (CD11),409.8,292
2019,CD,112,6,Washington Heights and Inwood (CD12),280.6,291
2019,CD,201,6,Mott Haven and Melrose (CD1),665.3,512
2019,CD,202,6,Hunts Point and Longwood (CD2),482.4,218
2019,CD,203,6,Morrisania and Crotona (CD3),493.2,370
2019,CD,204,6,Highbridge and Concourse (CD4),402.5,499
2019,CD,205,6,Fordham and University Heights (CD5),366.6,406
2019,CD,206,6,Belmont and East Tremont (CD6),463.8,330
2019,CD,207,6,Kingsbridge Heights and Bedford (CD7),330,385
2019,CD,208,6,Riverdale and Fieldston (CD8),166.8,118
2019,CD,209,6,Parkchester and Soundview (CD9),346.5,442
2019,CD,210,6,Throgs Neck and Co-op City (CD10),272.5,189
2019,CD,211,6,Morris Park and Bronxdale (CD11),305.2,241
2019,CD,212,6,Williamsbridge and Baychester (CD12),364.9,374
2019,CD,301,6,Greenpoint and Williamsburg (CD1),81.9,143
2019,CD,302,6,Fort Greene and Brooklyn Heights (CD2),108.2,93
2019,CD,303,6,Bedford Stuyvesant (CD3),271.5,293
2019,CD,304,6,Bushwick (CD4),248.3,189
2019,CD,305,6,East New York and Starrett City (CD5),361.3,456
2019,CD,306,6,Park Slope and Carroll Gardens (CD6),86.6,73
2019,CD,307,6,Sunset Park (CD7),58.1,61
2019,CD,308,6,Crown Heights and Prospect Heights (CD8),255.4,156
2019,CD,309,6,South Crown Heights and Lefferts Gardens (CD9),209.7,138
2019,CD,310,6,Bay Ridge and Dyker Heights (CD10),52.8,50
2019,CD,311,6,Bensonhurst (CD11),35.8,49
2019,CD,312,6,Borough Park (CD12),33.5,86
2019,CD,313,6,Coney Island (CD13),146.6,86
2019,CD,314,6,Flatbush and Midwood (CD14),92.7,117
