TimePeriod,GeoType,GeoID,GeoRank,Geography,"Age-adjusted rate per 10,000","Estimated annual rate per 10,000",Number
2008,UHF42,202,4,Downtown - Heights - Slope,100.1,94.6,1689
2008,UHF42,203,4,Bedford Stuyvesant - Crown Heights,199.8,202.8,4775
2008,UHF42,204,4,East New York,191.2,197.9,2556
2008,UHF42,205,4,Sunset Park,78.9,75.7,721
2008,UHF42,206,4,Borough Park,25.5,25.2,598
2008,UHF42,207,4,East Flatbush - Flatbush,114.8,115.7,2626
2008,UHF42,208,4,Canarsie - Flatlands,79.9,79.5,1182
2008,UHF42,209,4,Bensonhurst - Bay Ridge,22.2,21.9,367
2008,UHF42,210,4,Coney Island - Sheepshead Bay,46.2,45,1051
2008,UHF42,211,4,Williamsburg - Bushwick,225.5,220.8,3282
2008,UHF42,301,4,Washington Heights,104.9,104.9,2117
2008,UHF42,302,4,Central Harlem - Morningside Heights,322.6,321.8,4079
2008,UHF42,303,4,East Harlem,370.4,371.6,3145
2008,UHF42,304,4,Upper West Side,66.6,64.9,1230
2008,UHF42,305,4,Upper East Side,25.5,23.6,451
2008,UHF42,306,4,Chelsea - Clinton,57.6,53.3,698
2008,UHF42,307,4,Gramercy Park - Murray Hill,45.4,40,494
2008,UHF42,308,4,Greenwich Village - SoHo,23.5,21.6,163
2008,UHF42,309,4,Union Square - Lower East Side,82.9,79.9,1389
2008,UHF42,310,4,Lower Manhattan,49.9,45.8,197
2008,UHF42,401,4,Long Island City - Astoria,59.4,56.3,998
2008,UHF42,402,4,West Queens,39.6,39.3,1479
2008,UHF42,403,4,Flushing - Clearview,26,26.3,554
2008,UHF42,404,4,Bayside - Little Neck,17.1,17.3,122
2008,UHF42,405,4,Ridgewood - Forest Hills,39.5,38.7,761
2008,UHF42,406,4,Fresh Meadows,47.7,46.7,348
2008,UHF42,407,4,Southwest Queens,61.9,62.5,1252
2008,UHF42,408,4,Jamaica,82.7,82.9,1783
2008,UHF42,409,4,Southeast Queens,63.7,62.4,936
2008,UHF42,410,4,Rockaways,117.3,115,932
2008,UHF42,501,4,Port Richmond,149.5,154.8,760
2008,UHF42,502,4,Stapleton - St. George,104.7,104.9,982
2008,UHF42,503,4,Willowbrook,38.9,38.5,257
2008,UHF42,504,4,South Beach - Tottenville,35.2,35,507
2008,Borough,1,1,Bronx,220.3,222.9,22140
2008,Borough,2,1,Brooklyn,105.4,105.7,20064
2008,Borough,3,1,Manhattan,111.3,108.5,14596
2008,Borough,4,1,Queens,55.3,55.5,9701
2008,Borough,5,1,Staten Island,72.8,72.8,2580
2008,Citywide,1,0,New York City,108.5,109,69081
2007,UHF42,101,4,Kingsbridge - Riverdale,69.7,67.1,485
2007,UHF42,102,4,Northeast Bronx,121.4,119.5,1717
2007,UHF42,103,4,Fordham - Bronx Pk,183.6,185.3,3318
2007,UHF42,104,4,Pelham - Throgs Neck,143.4,144.8,3188
2007,UHF42,105,4,Crotona - Tremont,323.2,329.5,4576
2007,UHF42,106,4,High Bridge - Morrisania,278.5,286.9,3990
2007,UHF42,107,4,Hunts Point - Mott Haven,341.1,346.4,3119
2007,UHF42,201,4,Greenpoint,77.2,69.2,653
2007,UHF42,202,4,Downtown - Heights - Slope,96.5,92.7,1633
2007,UHF42,203,4,Bedford Stuyvesant - Crown Heights,184.5,186.8,4347
2007,UHF42,204,4,East New York,169.8,174.8,2222
2007,UHF42,205,4,Sunset Park,79.3,76.8,719
2007,UHF42,206,4,Borough Park,25.2,24.8,583
2007,UHF42,207,4,East Flatbush - Flatbush,101,102.2,2316
2007,UHF42,208,4,Canarsie - Flatlands,71.1,70,1033
2007,UHF42,209,4,Bensonhurst - Bay Ridge,27.5,27,444
2007,UHF42,210,4,Coney Island - Sheepshead Bay,46.9,45,1037
2007,UHF42,211,4,Williamsburg - Bushwick,204.8,205.9,2998
2007,UHF42,301,4,Washington Heights,102.6,103.2,2076
2007,UHF42,302,4,Central Harlem - Morningside Heights,305.6,306.7,3836
2007,UHF42,303,4,East Harlem,335.6,338,2831
2007,UHF42,304,4,Upper West Side,54.6,52.5,996
2007,UHF42,305,4,Upper East Side,22,20.2,386
2007,UHF42,306,4,Chelsea - Clinton,49.4,46.2,596
2007,UHF42,307,4,Gramercy Park - Murray Hill,44.4,40.3,494
2007,UHF42,308,4,Greenwich Village - SoHo,20.1,19,143
2007,UHF42,309,4,Union Square - Lower East Side,79.9,78,1348
2007,UHF42,310,4,Lower Manhattan,46.8,48.1,197
2007,UHF42,401,4,Long Island City - Astoria,56.3,53.9,946
2007,UHF42,402,4,West Queens,36.4,36.2,1348
2007,UHF42,403,4,Flushing - Clearview,26.5,26.6,555
2007,UHF42,404,4,Bayside - Little Neck,18.7,18.1,127
2007,UHF42,405,4,Ridgewood - Forest Hills,29.8,29.3,571
2007,UHF42,406,4,Fresh Meadows,43.4,43.3,319
2007,UHF42,407,4,Southwest Queens,55.5,55.7,1108
2007,UHF42,408,4,Jamaica,74.6,74.9,1597
2007,UHF42,409,4,Southeast Queens,55.8,54.5,814
2007,UHF42,410,4,Rockaways,91.6,89.5,715
2007,UHF42,501,4,Port Richmond,122.5,126.6,610
2007,UHF42,502,4,Stapleton - St. George,83.2,82.6,764
2007,UHF42,503,4,Willowbrook,36.5,34.8,231
2007,UHF42,504,4,South Beach - Tottenville,35.2,34.9,500
2007,Borough,1,1,Bronx,206.3,208.7,20513
2007,Borough,2,1,Brooklyn,76.4,76.8,14398
2007,Borough,3,1,Manhattan,150.8,148.5,19862
2007,Borough,4,1,Queens,51.3,51.5,8920
2007,Borough,5,1,Staten Island,63.8,63.1,2212
2007,Citywide,1,0,New York City,104.4,105,65905
2006,UHF42,101,4,Kingsbridge - Riverdale,57.5,55,395
2006,UHF42,102,4,Northeast Bronx,122.2,120.4,1722
2006,UHF42,103,4,Fordham - Bronx Pk,174.5,176.7,3142
2006,UHF42,104,4,Pelham - Throgs Neck,129.3,131,2863
2006,UHF42,105,4,Crotona - Tremont,304.2,312,4294
2006,UHF42,106,4,High Bridge - Morrisania,280.8,288.3,3950
2006,UHF42,107,4,Hunts Point - Mott Haven,319.1,326.5,2890
2006,UHF42,201,4,Greenpoint,63,57.4,533
2006,UHF42,202,4,Downtown - Heights - Slope,100.3,97.1,1696
2006,UHF42,203,4,Bedford Stuyvesant - Crown Heights,171,173.7,4020
2006,UHF42,204,4,East New York,166.9,173.2,2180
2006,UHF42,205,4,Sunset Park,81,78,722
2006,UHF42,206,4,Borough Park,25.5,24.9,579
2006,UHF42,207,4,East Flatbush - Flatbush,102.5,103.5,2353
2006,UHF42,208,4,Canarsie - Flatlands,78.1,75.7,1113
2006,UHF42,209,4,Bensonhurst - Bay Ridge,24.7,24.3,394
2006,UHF42,210,4,Coney Island - Sheepshead Bay,47.2,45.5,1037
2006,UHF42,211,4,Williamsburg - Bushwick,187.5,188,2699
2006,UHF42,301,4,Washington Heights,84.5,85.4,1724
2006,UHF42,302,4,Central Harlem - Morningside Heights,274.4,277.5,3439
2006,UHF42,303,4,East Harlem,342.7,342.7,2857
2006,UHF42,304,4,Upper West Side,53.4,51.7,982
2006,UHF42,305,4,Upper East Side,24.5,22.3,426
2006,UHF42,306,4,Chelsea - Clinton,63.8,59.7,760
2006,UHF42,307,4,Gramercy Park - Murray Hill,46,41.9,509
2006,UHF42,308,4,Greenwich Village - SoHo,19.4,18.7,141
2006,UHF42,309,4,Union Square - Lower East Side,78.7,76.7,1319
2006,UHF42,310,4,Lower Manhattan,49.7,49,191
2006,UHF42,401,4,Long Island City - Astoria,61.1,59.1,1032
2006,UHF42,402,4,West Queens,45.2,45.2,1672
2006,UHF42,403,4,Flushing - Clearview,24.6,24.7,512
2006,UHF42,404,4,Bayside - Little Neck,17.4,17.9,125
